Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,8,0.4,symmetric,0.515
75% Corpus,8,0.7,0.1,0.485
75% Corpus,8,0.7,0.4,0.5
75% Corpus,8,0.7,0.7,0.477
75% Corpus,8,0.7,symmetric,0.496
75% Corpus,8,symmetric,0.1,0.472
75% Corpus,8,symmetric,0.4,0.488
75% Corpus,8,symmetric,0.7,0.564
75% Corpus,8,symmetric,symmetric,0.467
75% Corpus,8,asymmetric,0.1,0.49
75% Corpus,8,asymmetric,0.4,0.54
75% Corpus,8,asymmetric,0.7,0.593
75% Corpus,8,asymmetric,symmetric,0.514
75% Corpus,9,0.1,0.1,0.468
75% Corpus,9,0.1,0.4,0.542
75% Corpus,9,0.1,0.7,0.562
75% Corpus,9,0.1,symmetric,0.49
75% Corpus,9,0.4,0.1,0.535
75% Corpus,9,0.4,0.4,0.508
75% Corpus,9,0.4,0.7,0.524
75% Corpus,9,0.4,symmetric,0.524
75% Corpus,9,0.7,0.1,0.514
75% Corpus,9,0.7,0.4,0.489
75% Corpus,9,0.7,0.7,0.469
75% Corpus,9,0.7,symmetric,0.49
75% Corpus,9,symmetric,0.1,0.466
75% Corpus,9,symmetric,0.4,0.536
75% Corpus,9,symmetric,0.7,0.582
75% Corpus,9,symmetric,symmetric,0.484
75% Corpus,9,asymmetric,0.1,0.509
75% Corpus,9,asymmetric,0.4,0.546
75% Corpus,9,asymmetric,0.7,0.527
75% Corpus,9,asymmetric,symmetric,0.486
100% Corpus,2,0.1,0.1,0.613
100% Corpus,2,0.1,0.4,0.588
100% Corpus,2,0.1,0.7,0.62
100% Corpus,2,0.1,symmetric,0.594
100% Corpus,2,0.4,0.1,0.574
100% Corpus,2,0.4,0.4,0.576
100% Corpus,2,0.4,0.7,0.611
100% Corpus,2,0.4,symmetric,0.605
100% Corpus,2,0.7,0.1,0.585
100% Corpus,2,0.7,0.4,0.596
100% Corpus,2,0.7,0.7,0.596
100% Corpus,2,0.7,symmetric,0.58
100% Corpus,2,symmetric,0.1,0.578
100% Corpus,2,symmetric,0.4,0.615
100% Corpus,2,symmetric,0.7,0.616
100% Corpus,2,symmetric,symmetric,0.611
100% Corpus,2,asymmetric,0.1,0.6
100% Corpus,2,asymmetric,0.4,0.588
100% Corpus,2,asymmetric,0.7,0.595
100% Corpus,2,asymmetric,symmetric,0.595
100% Corpus,3,0.1,0.1,0.532
100% Corpus,3,0.1,0.4,0.561
100% Corpus,3,0.1,0.7,0.611
100% Corpus,3,0.1,symmetric,0.585
100% Corpus,3,0.4,0.1,0.571
100% Corpus,3,0.4,0.4,0.581
100% Corpus,3,0.4,0.7,0.54
100% Corpus,3,0.4,symmetric,0.596
100% Corpus,3,0.7,0.1,0.59
100% Corpus,3,0.7,0.4,0.552
100% Corpus,3,0.7,0.7,0.554
100% Corpus,3,0.7,symmetric,0.601
100% Corpus,3,symmetric,0.1,0.572
100% Corpus,3,symmetric,0.4,0.586
100% Corpus,3,symmetric,0.7,0.592
100% Corpus,3,symmetric,symmetric,0.553
100% Corpus,3,asymmetric,0.1,0.585
100% Corpus,3,asymmetric,0.4,0.578
100% Corpus,3,asymmetric,0.7,0.551
100% Corpus,3,asymmetric,symmetric,0.56
100% Corpus,4,0.1,0.1,0.501
100% Corpus,4,0.1,0.4,0.567
100% Corpus,4,0.1,0.7,0.557
100% Corpus,4,0.1,symmetric,0.551
100% Corpus,4,0.4,0.1,0.527
100% Corpus,4,0.4,0.4,0.543
100% Corpus,4,0.4,0.7,0.583
100% Corpus,4,0.4,symmetric,0.564
100% Corpus,4,0.7,0.1,0.569
100% Corpus,4,0.7,0.4,0.565
100% Corpus,4,0.7,0.7,0.562
100% Corpus,4,0.7,symmetric,0.564
100% Corpus,4,symmetric,0.1,0.529
100% Corpus,4,symmetric,0.4,0.572
100% Corpus,4,symmetric,0.7,0.577
100% Corpus,4,symmetric,symmetric,0.551
100% Corpus,4,asymmetric,0.1,0.59
100% Corpus,4,asymmetric,0.4,0.61
100% Corpus,4,asymmetric,0.7,0.593
100% Corpus,4,asymmetric,symmetric,0.585
100% Corpus,5,0.1,0.1,0.497
100% Corpus,5,0.1,0.4,0.545
100% Corpus,5,0.1,0.7,0.606
100% Corpus,5,0.1,symmetric,0.535
100% Corpus,5,0.4,0.1,0.551
100% Corpus,5,0.4,0.4,0.544
100% Corpus,5,0.4,0.7,0.542
100% Corpus,5,0.4,symmetric,0.534
100% Corpus,5,0.7,0.1,0.53
100% Corpus,5,0.7,0.4,0.546
100% Corpus,5,0.7,0.7,0.58
100% Corpus,5,0.7,symmetric,0.529
100% Corpus,5,symmetric,0.1,0.554
100% Corpus,5,symmetric,0.4,0.54
100% Corpus,5,symmetric,0.7,0.583
100% Corpus,5,symmetric,symmetric,0.526
100% Corpus,5,asymmetric,0.1,0.579
100% Corpus,5,asymmetric,0.4,0.603
100% Corpus,5,asymmetric,0.7,0.553
100% Corpus,5,asymmetric,symmetric,0.587
100% Corpus,6,0.1,0.1,0.513
100% Corpus,6,0.1,0.4,0.568
100% Corpus,6,0.1,0.7,0.606
100% Corpus,6,0.1,symmetric,0.538
100% Corpus,6,0.4,0.1,0.545
100% Corpus,6,0.4,0.4,0.545
100% Corpus,6,0.4,0.7,0.543
100% Corpus,6,0.4,symmetric,0.563
100% Corpus,6,0.7,0.1,0.552
100% Corpus,6,0.7,0.4,0.565
100% Corpus,6,0.7,0.7,0.557
100% Corpus,6,0.7,symmetric,0.556
100% Corpus,6,symmetric,0.1,0.543
100% Corpus,6,symmetric,0.4,0.583
100% Corpus,6,symmetric,0.7,0.538
100% Corpus,6,symmetric,symmetric,0.514
100% Corpus,6,asymmetric,0.1,0.546
100% Corpus,6,asymmetric,0.4,0.549
100% Corpus,6,asymmetric,0.7,0.611
100% Corpus,6,asymmetric,symmetric,0.572
100% Corpus,7,0.1,0.1,0.525
100% Corpus,7,0.1,0.4,0.571
100% Corpus,7,0.1,0.7,0.616
100% Corpus,7,0.1,symmetric,0.554
100% Corpus,7,0.4,0.1,0.513
100% Corpus,7,0.4,0.4,0.544
100% Corpus,7,0.4,0.7,0.548
100% Corpus,7,0.4,symmetric,0.561
100% Corpus,7,0.7,0.1,0.546
100% Corpus,7,0.7,0.4,0.53
100% Corpus,7,0.7,0.7,0.555
100% Corpus,7,0.7,symmetric,0.57
100% Corpus,7,symmetric,0.1,0.521
100% Corpus,7,symmetric,0.4,0.554
100% Corpus,7,symmetric,0.7,0.581
100% Corpus,7,symmetric,symmetric,0.533
100% Corpus,7,asymmetric,0.1,0.522
100% Corpus,7,asymmetric,0.4,0.578
100% Corpus,7,asymmetric,0.7,0.6
100% Corpus,7,asymmetric,symmetric,0.58
100% Corpus,8,0.1,0.1,0.508
100% Corpus,8,0.1,0.4,0.578
100% Corpus,8,0.1,0.7,0.585
100% Corpus,8,0.1,symmetric,0.508
100% Corpus,8,0.4,0.1,0.573
100% Corpus,8,0.4,0.4,0.565
100% Corpus,8,0.4,0.7,0.572
100% Corpus,8,0.4,symmetric,0.593
100% Corpus,8,0.7,0.1,0.545
100% Corpus,8,0.7,0.4,0.548
100% Corpus,8,0.7,0.7,0.539
100% Corpus,8,0.7,symmetric,0.561
100% Corpus,8,symmetric,0.1,0.517
100% Corpus,8,symmetric,0.4,0.553
100% Corpus,8,symmetric,0.7,0.576
100% Corpus,8,symmetric,symmetric,0.536
100% Corpus,8,asymmetric,0.1,0.552
100% Corpus,8,asymmetric,0.4,0.556
100% Corpus,8,asymmetric,0.7,0.556
100% Corpus,8,asymmetric,symmetric,0.554
100% Corpus,9,0.1,0.1,0.555
100% Corpus,9,0.1,0.4,0.594
100% Corpus,9,0.1,0.7,0.633
100% Corpus,9,0.1,symmetric,0.543
100% Corpus,9,0.4,0.1,0.551
100% Corpus,9,0.4,0.4,0.566
100% Corpus,9,0.4,0.7,0.542
100% Corpus,9,0.4,symmetric,0.565
100% Corpus,9,0.7,0.1,0.563
100% Corpus,9,0.7,0.4,0.556
100% Corpus,9,0.7,0.7,0.562
100% Corpus,9,0.7,symmetric,0.541
100% Corpus,9,symmetric,0.1,0.551
100% Corpus,9,symmetric,0.4,0.583
100% Corpus,9,symmetric,0.7,0.634
100% Corpus,9,symmetric,symmetric,0.532
100% Corpus,9,asymmetric,0.1,0.547
100% Corpus,9,asymmetric,0.4,0.598
100% Corpus,9,asymmetric,0.7,0.597
100% Corpus,9,asymmetric,symmetric,0.579
