Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,4,0.1,0.7000000000000001,0.33875569445157244
100% Corpus,4,0.1,symmetric,0.3405575805593943
100% Corpus,4,0.4,0.1,0.28736492441928796
100% Corpus,4,0.4,0.4,0.29852005610590804
100% Corpus,4,0.4,0.7000000000000001,0.3578572634322138
100% Corpus,4,0.4,symmetric,0.300554838380224
100% Corpus,4,0.7000000000000001,0.1,0.29967337741545796
100% Corpus,4,0.7000000000000001,0.4,0.33617161746996493
100% Corpus,4,0.7000000000000001,0.7000000000000001,0.3523207617954013
100% Corpus,4,0.7000000000000001,symmetric,0.3144877938754944
100% Corpus,4,symmetric,0.1,0.2909235483408058
100% Corpus,4,symmetric,0.4,0.3298592087829282
100% Corpus,4,symmetric,0.7000000000000001,0.33428655710870264
100% Corpus,4,symmetric,symmetric,0.29385067084931654
100% Corpus,4,asymmetric,0.1,0.4118269613836545
100% Corpus,4,asymmetric,0.4,0.4488250209943214
100% Corpus,4,asymmetric,0.7000000000000001,0.46993383623779905
100% Corpus,4,asymmetric,symmetric,0.4438259792257417
100% Corpus,5,0.1,0.1,0.3000441791141363
100% Corpus,5,0.1,0.4,0.3601660581157592
100% Corpus,5,0.1,0.7000000000000001,0.3624543832671421
100% Corpus,5,0.1,symmetric,0.3298337182541851
100% Corpus,5,0.4,0.1,0.2705507041794494
100% Corpus,5,0.4,0.4,0.31332707506531565
100% Corpus,5,0.4,0.7000000000000001,0.3727249745013633
100% Corpus,5,0.4,symmetric,0.2822627416831545
100% Corpus,5,0.7000000000000001,0.1,0.2877260545445225
100% Corpus,5,0.7000000000000001,0.4,0.31526998284084745
100% Corpus,5,0.7000000000000001,0.7000000000000001,0.35827376583409426
100% Corpus,5,0.7000000000000001,symmetric,0.29711618499108194
100% Corpus,5,symmetric,0.1,0.31573036773367
100% Corpus,5,symmetric,0.4,0.3417097626030925
100% Corpus,5,symmetric,0.7000000000000001,0.3937523813090068
100% Corpus,5,symmetric,symmetric,0.2965226603717092
100% Corpus,5,asymmetric,0.1,0.45416413623902496
100% Corpus,5,asymmetric,0.4,0.4747695426821439
100% Corpus,5,asymmetric,0.7000000000000001,0.4159669508009182
100% Corpus,5,asymmetric,symmetric,0.4825476956218474
100% Corpus,6,0.1,0.1,0.3474787412466191
100% Corpus,6,0.1,0.4,0.4013720065404731
100% Corpus,6,0.1,0.7000000000000001,0.3847834844934955
100% Corpus,6,0.1,symmetric,0.3351517172076203
100% Corpus,6,0.4,0.1,0.338231522477753
100% Corpus,6,0.4,0.4,0.3838948523181995
100% Corpus,6,0.4,0.7000000000000001,0.41400727943190024
100% Corpus,6,0.4,symmetric,0.30260850179094967
100% Corpus,6,0.7000000000000001,0.1,0.282947448492991
100% Corpus,6,0.7000000000000001,0.4,0.30805638058529944
100% Corpus,6,0.7000000000000001,0.7000000000000001,0.3756527382252594
100% Corpus,6,0.7000000000000001,symmetric,0.28102075721358294
100% Corpus,6,symmetric,0.1,0.34896526659302723
100% Corpus,6,symmetric,0.4,0.40024191896848565
100% Corpus,6,symmetric,0.7000000000000001,0.44671730410676475
100% Corpus,6,symmetric,symmetric,0.32822874923298095
100% Corpus,6,asymmetric,0.1,0.43441542990733245
100% Corpus,6,asymmetric,0.4,0.4916297498379912
100% Corpus,6,asymmetric,0.7000000000000001,0.4707218435564408
100% Corpus,6,asymmetric,symmetric,0.467987008105254
100% Corpus,7,0.1,0.1,0.3328681012042384
100% Corpus,7,0.1,0.4,0.34162551786517364
100% Corpus,7,0.1,0.7000000000000001,0.39067334032817325
100% Corpus,7,0.1,symmetric,0.3408630704555115
100% Corpus,7,0.4,0.1,0.29929854815769596
100% Corpus,7,0.4,0.4,0.35988762996642937
100% Corpus,7,0.4,0.7000000000000001,0.4145410188157979
100% Corpus,7,0.4,symmetric,0.3038002962603035
100% Corpus,7,0.7000000000000001,0.1,0.3234048973304694
100% Corpus,7,0.7000000000000001,0.4,0.3001388779464761
100% Corpus,7,0.7000000000000001,0.7000000000000001,0.38480130555582653
100% Corpus,7,0.7000000000000001,symmetric,0.31771577396220024
100% Corpus,7,symmetric,0.1,0.34098162860651077
100% Corpus,7,symmetric,0.4,0.4002251409083723
100% Corpus,7,symmetric,0.7000000000000001,0.39772814252926597
100% Corpus,7,symmetric,symmetric,0.32795769226942006
100% Corpus,7,asymmetric,0.1,0.3611397001692483
100% Corpus,7,asymmetric,0.4,0.513984352927081
100% Corpus,7,asymmetric,0.7000000000000001,0.47225450927053486
100% Corpus,7,asymmetric,symmetric,0.37205048230631727
100% Corpus,8,0.1,0.1,0.31496664186588996
100% Corpus,8,0.1,0.4,0.3791964546200528
100% Corpus,8,0.1,0.7000000000000001,0.40708757767715215
100% Corpus,8,0.1,symmetric,0.3173321391000197
