Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,7,0.4,0.1,0.4684817497093923
75% Corpus,7,0.4,0.4,0.4091649419494793
75% Corpus,7,0.4,0.7000000000000001,0.38865773549148847
75% Corpus,7,0.4,symmetric,0.46218129916585976
75% Corpus,7,0.7000000000000001,0.1,0.43941445510428717
75% Corpus,7,0.7000000000000001,0.4,0.4071414534823981
75% Corpus,7,0.7000000000000001,0.7000000000000001,0.40936685550663626
75% Corpus,7,0.7000000000000001,symmetric,0.458063870918743
75% Corpus,7,symmetric,0.1,0.4528807345621238
75% Corpus,7,symmetric,0.4,0.4334152827687049
75% Corpus,7,symmetric,0.7000000000000001,0.46525923674503505
75% Corpus,7,symmetric,symmetric,0.4470715814584483
75% Corpus,7,asymmetric,0.1,0.4763886220803976
75% Corpus,7,asymmetric,0.4,0.5229158606068636
75% Corpus,7,asymmetric,0.7000000000000001,0.534271926168445
75% Corpus,7,asymmetric,symmetric,0.4675646272699125
75% Corpus,8,0.1,0.1,0.4799870043977609
75% Corpus,8,0.1,0.4,0.46575080066064356
75% Corpus,8,0.1,0.7000000000000001,0.45684083451417856
75% Corpus,8,0.1,symmetric,0.4906435913321062
75% Corpus,8,0.4,0.1,0.449094068503485
75% Corpus,8,0.4,0.4,0.4511121535433357
75% Corpus,8,0.4,0.7000000000000001,0.4434974316224264
75% Corpus,8,0.4,symmetric,0.4831354085373193
75% Corpus,8,0.7000000000000001,0.1,0.45564372184631036
75% Corpus,8,0.7000000000000001,0.4,0.42112454727461845
75% Corpus,8,0.7000000000000001,0.7000000000000001,0.4377155771533653
75% Corpus,8,0.7000000000000001,symmetric,0.4726464840620719
75% Corpus,8,symmetric,0.1,0.48168400310398923
75% Corpus,8,symmetric,0.4,0.4712640156878072
75% Corpus,8,symmetric,0.7000000000000001,0.4729541770037433
75% Corpus,8,symmetric,symmetric,0.47682063910276784
75% Corpus,8,asymmetric,0.1,0.47814620640312155
75% Corpus,8,asymmetric,0.4,0.5257663776982627
75% Corpus,8,asymmetric,0.7000000000000001,0.53502082743016
75% Corpus,8,asymmetric,symmetric,0.48753023010750096
75% Corpus,9,0.1,0.1,0.44523752886101536
75% Corpus,9,0.1,0.4,0.4987928917562571
75% Corpus,9,0.1,0.7000000000000001,0.47209508327638566
75% Corpus,9,0.1,symmetric,0.4576346926127606
75% Corpus,9,0.4,0.1,0.4956681107547424
75% Corpus,9,0.4,0.4,0.45953986508841843
75% Corpus,9,0.4,0.7000000000000001,0.4601933460183037
75% Corpus,9,0.4,symmetric,0.48331749644447225
75% Corpus,9,0.7000000000000001,0.1,0.46105835126391437
75% Corpus,9,0.7000000000000001,0.4,0.44142299221361225
75% Corpus,9,0.7000000000000001,0.7000000000000001,0.4649562084325061
75% Corpus,9,0.7000000000000001,symmetric,0.4684958128807565
75% Corpus,9,symmetric,0.1,0.4430505677859291
75% Corpus,9,symmetric,0.4,0.500610220741232
75% Corpus,9,symmetric,0.7000000000000001,0.43312173992200154
75% Corpus,9,symmetric,symmetric,0.45773050710634966
75% Corpus,9,asymmetric,0.1,0.4959914619004376
75% Corpus,9,asymmetric,0.4,0.5303887850298583
75% Corpus,9,asymmetric,0.7000000000000001,0.5133878057465409
75% Corpus,9,asymmetric,symmetric,0.5041809706577558
100% Corpus,2,0.1,0.1,0.33517760290307685
100% Corpus,2,0.1,0.4,0.33850353292325797
100% Corpus,2,0.1,0.7000000000000001,0.3595937104244936
100% Corpus,2,0.1,symmetric,0.33829024320094614
100% Corpus,2,0.4,0.1,0.3408483227951896
100% Corpus,2,0.4,0.4,0.29417976228936105
100% Corpus,2,0.4,0.7000000000000001,0.3200272990237747
100% Corpus,2,0.4,symmetric,0.29417976228936105
100% Corpus,2,0.7000000000000001,0.1,0.33835024944603953
100% Corpus,2,0.7000000000000001,0.4,0.362103399467964
100% Corpus,2,0.7000000000000001,0.7000000000000001,0.3434485763686531
100% Corpus,2,0.7000000000000001,symmetric,0.35224105831100716
100% Corpus,2,symmetric,0.1,0.3377640026996191
100% Corpus,2,symmetric,0.4,0.36916857915524004
100% Corpus,2,symmetric,0.7000000000000001,0.37646608423965244
100% Corpus,2,symmetric,symmetric,0.3729497157329511
100% Corpus,2,asymmetric,0.1,0.4340035249042567
100% Corpus,2,asymmetric,0.4,0.3079469937189908
100% Corpus,2,asymmetric,0.7000000000000001,0.3027137163751078
100% Corpus,2,asymmetric,symmetric,0.30771923920986033
100% Corpus,3,0.1,0.1,0.4114319659843983
100% Corpus,3,0.1,0.4,0.441819721866048
100% Corpus,3,0.1,0.7000000000000001,0.4215369052250871
100% Corpus,3,0.1,symmetric,0.4557512273292226
100% Corpus,3,0.4,0.1,0.31625465679942394
100% Corpus,3,0.4,0.4,0.32179041760311716
100% Corpus,3,0.4,0.7000000000000001,0.3204933736906346
100% Corpus,3,0.4,symmetric,0.33920484334814444
100% Corpus,3,0.7000000000000001,0.1,0.34593724767257
100% Corpus,3,0.7000000000000001,0.4,0.3213190871775556
100% Corpus,3,0.7000000000000001,0.7000000000000001,0.3063636316185678
100% Corpus,3,0.7000000000000001,symmetric,0.32509446398233727
100% Corpus,3,symmetric,0.1,0.31506157541226854
100% Corpus,3,symmetric,0.4,0.42219902477707355
100% Corpus,3,symmetric,0.7000000000000001,0.3524305775169363
100% Corpus,3,symmetric,symmetric,0.39422074383393174
100% Corpus,3,asymmetric,0.1,0.4213623020294736
100% Corpus,3,asymmetric,0.4,0.3207253863052504
100% Corpus,3,asymmetric,0.7000000000000001,0.4054324995897283
100% Corpus,3,asymmetric,symmetric,0.3648114724784812
100% Corpus,4,0.1,0.1,0.3629657778601365
100% Corpus,4,0.1,0.4,0.3840644714055446
100% Corpus,4,0.1,0.7000000000000001,0.4095705016019313
100% Corpus,4,0.1,symmetric,0.33453295549087037
100% Corpus,4,0.4,0.1,0.41262569725251497
100% Corpus,4,0.4,0.4,0.3825963198461261
100% Corpus,4,0.4,0.7000000000000001,0.3857763949436862
100% Corpus,4,0.4,symmetric,0.4166279263589955
100% Corpus,4,0.7000000000000001,0.1,0.4518114168781354
100% Corpus,4,0.7000000000000001,0.4,0.37787913567036263
100% Corpus,4,0.7000000000000001,0.7000000000000001,0.358309188665641
100% Corpus,4,0.7000000000000001,symmetric,0.3844528488994068
100% Corpus,4,symmetric,0.1,0.3793329161017809
100% Corpus,4,symmetric,0.4,0.39545859761960545
