Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,6,0.7000000000000001,symmetric,0.4580458883607637
75% Corpus,6,symmetric,0.1,0.4928332644464535
75% Corpus,6,symmetric,0.4,0.4679160622334592
75% Corpus,6,symmetric,0.7000000000000001,0.4808077282078333
75% Corpus,6,symmetric,symmetric,0.4934702429614914
75% Corpus,6,asymmetric,0.1,0.4800461668474554
75% Corpus,6,asymmetric,0.4,0.5128022509502506
75% Corpus,6,asymmetric,0.7000000000000001,0.4966982621888436
75% Corpus,6,asymmetric,symmetric,0.5176732186234623
75% Corpus,7,0.1,0.1,0.4846262237805365
75% Corpus,7,0.1,0.4,0.5020922686963223
75% Corpus,7,0.1,0.7000000000000001,0.4898338968518149
75% Corpus,7,0.1,symmetric,0.48876602342696746
75% Corpus,7,0.4,0.1,0.5064551262390696
75% Corpus,7,0.4,0.4,0.47967350733910913
75% Corpus,7,0.4,0.7000000000000001,0.45989102633234025
75% Corpus,7,0.4,symmetric,0.4890225065937836
75% Corpus,7,0.7000000000000001,0.1,0.49782120123217294
75% Corpus,7,0.7000000000000001,0.4,0.45961271546718124
75% Corpus,7,0.7000000000000001,0.7000000000000001,0.47743267314979904
75% Corpus,7,0.7000000000000001,symmetric,0.4977279937777264
75% Corpus,7,symmetric,0.1,0.48644695935564136
75% Corpus,7,symmetric,0.4,0.49518036569594365
75% Corpus,7,symmetric,0.7000000000000001,0.4725324292672795
75% Corpus,7,symmetric,symmetric,0.4728083093112027
75% Corpus,7,asymmetric,0.1,0.47366595491407687
75% Corpus,7,asymmetric,0.4,0.498702337875857
75% Corpus,7,asymmetric,0.7000000000000001,0.5117501352438515
75% Corpus,7,asymmetric,symmetric,0.4646988063443353
75% Corpus,8,0.1,0.1,0.480421809121767
75% Corpus,8,0.1,0.4,0.4985128276569279
75% Corpus,8,0.1,0.7000000000000001,0.4998519117935073
75% Corpus,8,0.1,symmetric,0.46255720709766
75% Corpus,8,0.4,0.1,0.516640612010909
75% Corpus,8,0.4,0.4,0.5066507045491948
75% Corpus,8,0.4,0.7000000000000001,0.49466654271099775
75% Corpus,8,0.4,symmetric,0.5164496747182928
75% Corpus,8,0.7000000000000001,0.1,0.49536942027398195
75% Corpus,8,0.7000000000000001,0.4,0.47742431609046915
75% Corpus,8,0.7000000000000001,0.7000000000000001,0.4792217966949924
75% Corpus,8,0.7000000000000001,symmetric,0.5053106134853936
75% Corpus,8,symmetric,0.1,0.501100388303577
75% Corpus,8,symmetric,0.4,0.4862706029096193
75% Corpus,8,symmetric,0.7000000000000001,0.49556365052893814
75% Corpus,8,symmetric,symmetric,0.4781846632429447
75% Corpus,8,asymmetric,0.1,0.4767522799123384
75% Corpus,8,asymmetric,0.4,0.4795483086838618
75% Corpus,8,asymmetric,0.7000000000000001,0.5003595271478771
75% Corpus,8,asymmetric,symmetric,0.4967108445314602
75% Corpus,9,0.1,0.1,0.5204133025424907
75% Corpus,9,0.1,0.4,0.5166097285208912
75% Corpus,9,0.1,0.7000000000000001,0.5003202558406673
75% Corpus,9,0.1,symmetric,0.537456238784403
75% Corpus,9,0.4,0.1,0.5273927104037147
75% Corpus,9,0.4,0.4,0.5210830424002062
75% Corpus,9,0.4,0.7000000000000001,0.49507760809767937
75% Corpus,9,0.4,symmetric,0.5272792349502744
75% Corpus,9,0.7000000000000001,0.1,0.5104273038287341
75% Corpus,9,0.7000000000000001,0.4,0.48279381797574294
75% Corpus,9,0.7000000000000001,0.7000000000000001,0.45948511664467984
75% Corpus,9,0.7000000000000001,symmetric,0.5207298638857163
75% Corpus,9,symmetric,0.1,0.5216418173248757
75% Corpus,9,symmetric,0.4,0.5303248132845901
75% Corpus,9,symmetric,0.7000000000000001,0.5065591606004229
75% Corpus,9,symmetric,symmetric,0.5197044604258831
75% Corpus,9,asymmetric,0.1,0.5389056518143504
75% Corpus,9,asymmetric,0.4,0.5499575110469253
75% Corpus,9,asymmetric,0.7000000000000001,0.5124901128047893
75% Corpus,9,asymmetric,symmetric,0.5130968062073924
100% Corpus,2,0.1,0.1,0.46972651233010115
100% Corpus,2,0.1,0.4,0.49376168980375396
100% Corpus,2,0.1,0.7000000000000001,0.46220129773627483
100% Corpus,2,0.1,symmetric,0.466647486288581
100% Corpus,2,0.4,0.1,0.46459349734074923
100% Corpus,2,0.4,0.4,0.3964441408462416
100% Corpus,2,0.4,0.7000000000000001,0.45867556607932014
100% Corpus,2,0.4,symmetric,0.47674013338361276
100% Corpus,2,0.7000000000000001,0.1,0.4710627549848172
100% Corpus,2,0.7000000000000001,0.4,0.487418642239855
100% Corpus,2,0.7000000000000001,0.7000000000000001,0.4855186402047553
100% Corpus,2,0.7000000000000001,symmetric,0.4556117977169987
100% Corpus,2,symmetric,0.1,0.4967661629048542
100% Corpus,2,symmetric,0.4,0.48183246677423003
100% Corpus,2,symmetric,0.7000000000000001,0.48183246677423003
100% Corpus,2,symmetric,symmetric,0.4767405754720493
100% Corpus,2,asymmetric,0.1,0.4487923752778785
100% Corpus,2,asymmetric,0.4,0.5328356611611558
100% Corpus,2,asymmetric,0.7000000000000001,0.5578159007914334
100% Corpus,2,asymmetric,symmetric,0.5365271987225442
100% Corpus,3,0.1,0.1,0.49288594337437724
100% Corpus,3,0.1,0.4,0.5466193989226507
100% Corpus,3,0.1,0.7000000000000001,0.5423769335766281
100% Corpus,3,0.1,symmetric,0.546879559025397
100% Corpus,3,0.4,0.1,0.5058705724465259
100% Corpus,3,0.4,0.4,0.5111236590082283
100% Corpus,3,0.4,0.7000000000000001,0.5300532907488843
100% Corpus,3,0.4,symmetric,0.4973040545510483
100% Corpus,3,0.7000000000000001,0.1,0.5323285588212738
100% Corpus,3,0.7000000000000001,0.4,0.5052904516731144
100% Corpus,3,0.7000000000000001,0.7000000000000001,0.49560175407572754
100% Corpus,3,0.7000000000000001,symmetric,0.49920590823489003
100% Corpus,3,symmetric,0.1,0.5385392895281356
100% Corpus,3,symmetric,0.4,0.5019926242629775
100% Corpus,3,symmetric,0.7000000000000001,0.5328286849832057
100% Corpus,3,symmetric,symmetric,0.5214475378533553
100% Corpus,3,asymmetric,0.1,0.5188420293272543
100% Corpus,3,asymmetric,0.4,0.5296077317421136
100% Corpus,3,asymmetric,0.7000000000000001,0.5244700292942003
